"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,1,0.5,4,58,1,1,"normal",0.0295604532907018,0.5
"2",300,1,0.5,6,37,1,1,"normal",0.0377450624363677,0.5
"3",300,1,0.5,8,27,1,1,"normal",0.0372858529821633,0.5
"4",300,1,0.5,10,21,1,1,"normal",0.0373152268197934,0.5
"5",300,1,0.5,12,16,1,1,"normal",0.0443164057465267,0.5
"6",300,1,0.5,14,13,1,1,"normal",0.0437582914641474,0.5
"7",300,1,0.5,16,11,1,1,"normal",0.0442446522616442,0.5
"8",300,1,0.5,18,9,1,1,"normal",0.0464201851649063,0.5
"9",300,1,0.5,20,8,1,1,"normal",0.0526685067275424,0.5
"10",300,1,0.5,22,7,1,1,"normal",0.0508164667193932,0.5
"11",300,1,0.5,24,6,1,1,"normal",0.0534496307880691,0.5
"12",300,1,0.5,26,5,1,1,"normal",0.0573309243702166,0.5
"13",300,1,0.5,28,4,1,1,"normal",0.0690792612302542,0.5
"14",300,1,0.5,30,4,1,1,"normal",0.0709663317650515,0.5
"15",300,1,0.5,32,3,1,1,"normal",0.0899621594342577,0.5
"16",300,1,0.5,34,3,1,1,"normal",0.0795900555404316,0.5
"17",300,1,0.5,36,2,1,1,"normal",0.106016690135835,0.5
"18",300,1,0.5,38,2,1,1,"normal",0.105558187930618,0.5
"19",300,1,0.5,40,2,1,1,"normal",0.124503253153959,0.5
"20",300,1,0.5,42,1,1,1,"normal",0.204107042988819,0.5
"21",300,1,0.5,44,1,1,1,"normal",0.17593430546856,0.5
"22",300,1,0.5,46,1,1,1,"normal",0.173529929113743,0.5
"23",300,1,0.5,48,1,1,1,"normal",0.149840051313381,0.5
"24",300,1,0.5,50,1,1,1,"normal",0.159729912770596,0.5
"25",300,1,2,4,58,1,1,"normal",0.0334637857157333,0.5
"26",300,1,2,6,37,1,1,"normal",0.0343864936637183,0.5
"27",300,1,2,8,27,1,1,"normal",0.0361169653383502,0.5
"28",300,1,2,10,21,1,1,"normal",0.0416885082071814,0.5
"29",300,1,2,12,16,1,1,"normal",0.0437098868567306,0.5
"30",300,1,2,14,13,1,1,"normal",0.0422488647993067,0.5
"31",300,1,2,16,11,1,1,"normal",0.0376580294466067,0.5
"32",300,1,2,18,9,1,1,"normal",0.0493056735330921,0.5
"33",300,1,2,20,8,1,1,"normal",0.0430902753292441,0.5
"34",300,1,2,22,7,1,1,"normal",0.051082726825859,0.5
"35",300,1,2,24,6,1,1,"normal",0.054269140977852,0.5
"36",300,1,2,26,5,1,1,"normal",0.0569779913872131,0.5
"37",300,1,2,28,4,1,1,"normal",0.0812361766528003,0.5
"38",300,1,2,30,4,1,1,"normal",0.0553758960069255,0.5
"39",300,1,2,32,3,1,1,"normal",0.0908127429260801,0.5
"40",300,1,2,34,3,1,1,"normal",0.0876621984660828,0.5
"41",300,1,2,36,2,1,1,"normal",0.110313114753103,0.5
"42",300,1,2,38,2,1,1,"normal",0.127180448938683,0.5
"43",300,1,2,40,2,1,1,"normal",0.0957250157053664,0.5
"44",300,1,2,42,1,1,1,"normal",0.176151353910762,0.5
"45",300,1,2,44,1,1,1,"normal",0.194098242815899,0.5
"46",300,1,2,46,1,1,1,"normal",0.173400383066101,0.5
"47",300,1,2,48,1,1,1,"normal",0.16535511789067,0.5
"48",300,1,2,50,1,1,1,"normal",0.18954619269529,0.5
"49",300,1,10,4,58,1,1,"normal",0.0343398665403405,0.5
"50",300,1,10,6,37,1,1,"normal",0.0385568845599473,0.5
"51",300,1,10,8,27,1,1,"normal",0.0386787175184253,0.5
"52",300,1,10,10,21,1,1,"normal",0.0340117152849434,0.5
"53",300,1,10,12,16,1,1,"normal",0.0423503892588349,0.5
"54",300,1,10,14,13,1,1,"normal",0.0459231647436229,0.5
"55",300,1,10,16,11,1,1,"normal",0.0399566758359831,0.5
"56",300,1,10,18,9,1,1,"normal",0.0411604912533153,0.5
"57",300,1,10,20,8,1,1,"normal",0.0512220231904414,0.5
"58",300,1,10,22,7,1,1,"normal",0.0496340437116653,0.5
"59",300,1,10,24,6,1,1,"normal",0.0552508712572743,0.5
"60",300,1,10,26,5,1,1,"normal",0.0649341695751586,0.5
"61",300,1,10,28,4,1,1,"normal",0.0691413747599309,0.5
"62",300,1,10,30,4,1,1,"normal",0.0605721951501446,0.5
"63",300,1,10,32,3,1,1,"normal",0.0882023507377903,0.5
"64",300,1,10,34,3,1,1,"normal",0.0706938601005335,0.5
"65",300,1,10,36,2,1,1,"normal",0.120821305074739,0.5
"66",300,1,10,38,2,1,1,"normal",0.117181031164956,0.5
"67",300,1,10,40,2,1,1,"normal",0.102349369005759,0.5
"68",300,1,10,42,1,1,1,"normal",0.184037117524322,0.5
"69",300,1,10,44,1,1,1,"normal",0.183945198123509,0.5
"70",300,1,10,46,1,1,1,"normal",0.159694851148233,0.5
"71",300,1,10,48,1,1,1,"normal",0.163141730454554,0.5
"72",300,1,10,50,1,1,1,"normal",0.156155169095431,0.5
