"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,0.5,2,4,231,1,1,"normal",0.00970298353809688,0.5
"2",300,0.5,2,6,147,1,1,"normal",0.00884479445451024,0.5
"3",300,0.5,2,8,106,1,1,"normal",0.00958817692483989,0.5
"4",300,0.5,2,10,81,1,1,"normal",0.0106155979470377,0.5
"5",300,0.5,2,12,64,1,1,"normal",0.00997466602337035,0.5
"6",300,0.5,2,14,52,1,1,"normal",0.0114923559093344,0.5
"7",300,0.5,2,16,43,1,1,"normal",0.0127265833581881,0.5
"8",300,0.5,2,18,36,1,1,"normal",0.0136793992308695,0.5
"9",300,0.5,2,20,31,1,1,"normal",0.0135310179642277,0.5
"10",300,0.5,2,22,26,1,1,"normal",0.0157220222042633,0.5
"11",300,0.5,2,24,22,1,1,"normal",0.0151563423875513,0.5
"12",300,0.5,2,26,19,1,1,"normal",0.015327471417093,0.5
"13",300,0.5,2,28,16,1,1,"normal",0.016741177617456,0.5
"14",300,0.5,2,30,14,1,1,"normal",0.0212223828015433,0.5
"15",300,0.5,2,32,12,1,1,"normal",0.0191787289591483,0.5
"16",300,0.5,2,34,10,1,1,"normal",0.0235086947932192,0.5
"17",300,0.5,2,36,8,1,1,"normal",0.0272330162837812,0.5
"18",300,0.5,2,38,7,1,1,"normal",0.0322625540283443,0.5
"19",300,0.5,2,40,6,1,1,"normal",0.0354589322064825,0.5
"20",300,0.5,2,42,4,1,1,"normal",0.046989243232314,0.5
"21",300,0.5,2,44,3,1,1,"normal",0.0582005372869832,0.5
"22",300,0.5,2,46,2,1,1,"normal",0.0877869725294426,0.5
"23",300,0.5,2,48,1,1,1,"normal",0.190794416163891,0.5
"24",300,0.5,2,50,1,1,1,"normal",0.192102503032949,0.5
"25",300,2,2,4,231,1,1,"normal",0.00772988026874155,0.5
"26",300,2,2,6,147,1,1,"normal",0.00938643340091128,0.5
"27",300,2,2,8,106,1,1,"normal",0.00832269265538176,0.5
"28",300,2,2,10,81,1,1,"normal",0.00856123854871269,0.5
"29",300,2,2,12,64,1,1,"normal",0.0115268454205289,0.5
"30",300,2,2,14,52,1,1,"normal",0.0111676039866303,0.5
"31",300,2,2,16,43,1,1,"normal",0.0127482277285365,0.5
"32",300,2,2,18,36,1,1,"normal",0.0124444883749922,0.5
"33",300,2,2,20,31,1,1,"normal",0.0119124428882404,0.5
"34",300,2,2,22,26,1,1,"normal",0.0131056828197143,0.5
"35",300,2,2,24,22,1,1,"normal",0.0167796336010657,0.5
"36",300,2,2,26,19,1,1,"normal",0.017816417413391,0.5
"37",300,2,2,28,16,1,1,"normal",0.0191512358059646,0.5
"38",300,2,2,30,14,1,1,"normal",0.0188025412153932,0.5
"39",300,2,2,32,12,1,1,"normal",0.0200002777579322,0.5
"40",300,2,2,34,10,1,1,"normal",0.0227612174866398,0.5
"41",300,2,2,36,8,1,1,"normal",0.0255735473870046,0.5
"42",300,2,2,38,7,1,1,"normal",0.0287188409276479,0.5
"43",300,2,2,40,6,1,1,"normal",0.0294814396029547,0.5
"44",300,2,2,42,4,1,1,"normal",0.0519267486443432,0.5
"45",300,2,2,44,3,1,1,"normal",0.0657262564924522,0.5
"46",300,2,2,46,2,1,1,"normal",0.0821588635138353,0.5
"47",300,2,2,48,1,1,1,"normal",0.153424913595726,0.5
"48",300,2,2,50,1,1,1,"normal",0.14431902622247,0.5
"49",300,10,2,4,231,1,1,"normal",0.0087536762988473,0.5
"50",300,10,2,6,147,1,1,"normal",0.00833408101190621,0.5
"51",300,10,2,8,106,1,1,"normal",0.00848624355301059,0.5
"52",300,10,2,10,81,1,1,"normal",0.0107720766815517,0.5
"53",300,10,2,12,64,1,1,"normal",0.0109921423172402,0.5
"54",300,10,2,14,52,1,1,"normal",0.0102778434301192,0.5
"55",300,10,2,16,43,1,1,"normal",0.0100600501602994,0.5
"56",300,10,2,18,36,1,1,"normal",0.0122414683191754,0.5
"57",300,10,2,20,31,1,1,"normal",0.0131672600717102,0.5
"58",300,10,2,22,26,1,1,"normal",0.0150967224779256,0.5
"59",300,10,2,24,22,1,1,"normal",0.0150598393358145,0.5
"60",300,10,2,26,19,1,1,"normal",0.0138213787872356,0.5
"61",300,10,2,28,16,1,1,"normal",0.0178945854872873,0.5
"62",300,10,2,30,14,1,1,"normal",0.0168912306069519,0.5
"63",300,10,2,32,12,1,1,"normal",0.0218046949745579,0.5
"64",300,10,2,34,10,1,1,"normal",0.021631402292218,0.5
"65",300,10,2,36,8,1,1,"normal",0.0294101943857688,0.5
"66",300,10,2,38,7,1,1,"normal",0.0287588293490262,0.5
"67",300,10,2,40,6,1,1,"normal",0.0359299508817159,0.5
"68",300,10,2,42,4,1,1,"normal",0.0475278229530145,0.5
"69",300,10,2,44,3,1,1,"normal",0.0592992262766025,0.5
"70",300,10,2,46,2,1,1,"normal",0.0816158374477868,0.5
"71",300,10,2,48,1,1,1,"normal",0.179313830830638,0.5
"72",300,10,2,50,1,1,1,"normal",0.128462924825349,0.5
