"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,1,2,4,231,0.333333333333333,1,"normal",0.00523915924552029,0.1
"2",300,1,2,4,231,1,1,"normal",0.00819062086828207,0.5
"3",300,1,2,4,231,3,1,"normal",0.0453248710067661,0.9
"4",300,1,2,6,147,0.333333333333333,1,"normal",0.00430096479020451,0.1
"5",300,1,2,6,147,1,1,"normal",0.00864551025346263,0.5
"6",300,1,2,6,147,3,1,"normal",0.0429603429631769,0.9
"7",300,1,2,8,106,0.333333333333333,1,"normal",0.00563526520361346,0.1
"8",300,1,2,8,106,1,1,"normal",0.00900399959606808,0.5
"9",300,1,2,8,106,3,1,"normal",0.0546845833274882,0.9
"10",300,1,2,10,81,0.333333333333333,1,"normal",0.00429541035239443,0.1
"11",300,1,2,10,81,1,1,"normal",0.0124627812266572,0.5
"12",300,1,2,10,81,3,1,"normal",0.0501147880367236,0.9
"13",300,1,2,12,64,0.333333333333333,1,"normal",0.00666940704133361,0.1
"14",300,1,2,12,64,1,1,"normal",0.0105029114893622,0.5
"15",300,1,2,12,64,3,1,"normal",0.0553513364550098,0.9
"16",300,1,2,14,52,0.333333333333333,1,"normal",0.00668430553577559,0.1
"17",300,1,2,14,52,1,1,"normal",0.0107646455043968,0.5
"18",300,1,2,14,52,3,1,"normal",0.0562360507088586,0.9
"19",300,1,2,16,43,0.333333333333333,1,"normal",0.00733929810042503,0.1
"20",300,1,2,16,43,1,1,"normal",0.011355590900847,0.5
"21",300,1,2,16,43,3,1,"normal",0.0580745700490138,0.9
"22",300,1,2,18,36,0.333333333333333,1,"normal",0.00549836189749232,0.1
"23",300,1,2,18,36,1,1,"normal",0.010383541515727,0.5
"24",300,1,2,18,36,3,1,"normal",0.061359633772161,0.9
"25",300,1,2,20,31,0.333333333333333,1,"normal",0.0076011357947727,0.1
"26",300,1,2,20,31,1,1,"normal",0.0120139964199636,0.5
"27",300,1,2,20,31,3,1,"normal",0.0673430836752514,0.9
"28",300,1,2,22,26,0.333333333333333,1,"normal",0.00879115504015753,0.1
"29",300,1,2,22,26,1,1,"normal",0.0144081647112174,0.5
"30",300,1,2,22,26,3,1,"normal",0.0690516774203276,0.9
"31",300,1,2,24,22,0.333333333333333,1,"normal",0.00971755203173595,0.1
"32",300,1,2,24,22,1,1,"normal",0.0157804243258269,0.5
"33",300,1,2,24,22,3,1,"normal",0.0696153846814369,0.9
"34",300,1,2,26,19,0.333333333333333,1,"normal",0.0105109102106754,0.1
"35",300,1,2,26,19,1,1,"normal",0.0170788404076788,0.5
"36",300,1,2,26,19,3,1,"normal",0.0754695732169378,0.9
"37",300,1,2,28,16,0.333333333333333,1,"normal",0.0102426894354912,0.1
"38",300,1,2,28,16,1,1,"normal",0.0172988650123252,0.5
"39",300,1,2,28,16,3,1,"normal",0.0805014602496653,0.9
"40",300,1,2,30,14,0.333333333333333,1,"normal",0.00928375798613021,0.1
"41",300,1,2,30,14,1,1,"normal",0.0207265414588075,0.5
"42",300,1,2,30,14,3,1,"normal",0.106364081598559,0.9
"43",300,1,2,32,12,0.333333333333333,1,"normal",0.0106341062058467,0.1
"44",300,1,2,32,12,1,1,"normal",0.0204081645779103,0.5
"45",300,1,2,32,12,3,1,"normal",0.107420762900046,0.9
"46",300,1,2,34,10,0.333333333333333,1,"normal",0.0128718266082617,0.1
"47",300,1,2,34,10,1,1,"normal",0.0238102623815167,0.5
"48",300,1,2,34,10,3,1,"normal",0.113186436004435,0.9
"49",300,1,2,36,8,0.333333333333333,1,"normal",0.0149971373423741,0.1
"50",300,1,2,36,8,1,1,"normal",0.0252018713555682,0.5
"51",300,1,2,36,8,3,1,"normal",0.151852557083816,0.9
"52",300,1,2,38,7,0.333333333333333,1,"normal",0.0197799103796163,0.1
"53",300,1,2,38,7,1,1,"normal",0.0268454239679966,0.5
"54",300,1,2,38,7,3,1,"normal",0.142395321856683,0.9
"55",300,1,2,40,6,0.333333333333333,1,"normal",0.0206571791097164,0.1
"56",300,1,2,40,6,1,1,"normal",0.0351689641851531,0.5
"57",300,1,2,40,6,3,1,"normal",0.160425311147939,0.9
"58",300,1,2,42,4,0.333333333333333,1,"normal",0.0270801018568754,0.1
"59",300,1,2,42,4,1,1,"normal",0.0465932702898597,0.5
"60",300,1,2,42,4,3,1,"normal",0.239950803798219,0.9
"61",300,1,2,44,3,0.333333333333333,1,"normal",0.0302172930319545,0.1
"62",300,1,2,44,3,1,1,"normal",0.0668358050024397,0.5
"63",300,1,2,44,3,3,1,"normal",0.271122331674981,0.9
"64",300,1,2,46,2,0.333333333333333,1,"normal",0.044638781743573,0.1
"65",300,1,2,46,2,1,1,"normal",0.0828601881056877,0.5
"66",300,1,2,46,2,3,1,"normal",0.411127066283996,0.9
"67",300,1,2,48,1,0.333333333333333,1,"normal",0.0926675876672237,0.1
"68",300,1,2,48,1,1,1,"normal",0.152795281541023,0.5
"69",300,1,2,48,1,3,1,"normal",0.920023604762068,0.9
"70",300,1,2,50,1,0.333333333333333,1,"normal",0.0742758965912352,0.1
"71",300,1,2,50,1,1,1,"normal",0.178292026492338,0.5
"72",300,1,2,50,1,3,1,"normal",0.866812267813959,0.9
