"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,1,2,4,231,0.333333333333333,1,"poisson",0.00142779437347496,0.1
"2",300,1,2,4,231,1,1,"poisson",0.00895868494057433,0.5
"3",300,1,2,4,231,3,1,"poisson",0.522282979149085,0.9
"4",300,1,2,6,147,0.333333333333333,1,"poisson",0.00153794899892856,0.1
"5",300,1,2,6,147,1,1,"poisson",0.0081399977819131,0.5
"6",300,1,2,6,147,3,1,"poisson",0.455033098301771,0.9
"7",300,1,2,8,106,0.333333333333333,1,"poisson",0.00157838822068339,0.1
"8",300,1,2,8,106,1,1,"poisson",0.00906495882299396,0.5
"9",300,1,2,8,106,3,1,"poisson",0.405374749933714,0.9
"10",300,1,2,10,81,0.333333333333333,1,"poisson",0.0014105498596683,0.1
"11",300,1,2,10,81,1,1,"poisson",0.00811326324997246,0.5
"12",300,1,2,10,81,3,1,"poisson",0.342395605297013,0.9
"13",300,1,2,12,64,0.333333333333333,1,"poisson",0.0016150264327806,0.1
"14",300,1,2,12,64,1,1,"poisson",0.00940510055122886,0.5
"15",300,1,2,12,64,3,1,"poisson",0.341534513251104,0.9
"16",300,1,2,14,52,0.333333333333333,1,"poisson",0.00191370650730439,0.1
"17",300,1,2,14,52,1,1,"poisson",0.0082135432669258,0.5
"18",300,1,2,14,52,3,1,"poisson",0.284299579171344,0.9
"19",300,1,2,16,43,0.333333333333333,1,"poisson",0.00160406516374343,0.1
"20",300,1,2,16,43,1,1,"poisson",0.00970095842439829,0.5
"21",300,1,2,16,43,3,1,"poisson",0.28703904665737,0.9
"22",300,1,2,18,36,0.333333333333333,1,"poisson",0.00202766460479845,0.1
"23",300,1,2,18,36,1,1,"poisson",0.0114520958548595,0.5
"24",300,1,2,18,36,3,1,"poisson",0.292990402072415,0.9
"25",300,1,2,20,31,0.333333333333333,1,"poisson",0.00214057077661492,0.1
"26",300,1,2,20,31,1,1,"poisson",0.0106617712993236,0.5
"27",300,1,2,20,31,3,1,"poisson",0.269463213396591,0.9
"28",300,1,2,22,26,0.333333333333333,1,"poisson",0.00210152896943632,0.1
"29",300,1,2,22,26,1,1,"poisson",0.0121534205751705,0.5
"30",300,1,2,22,26,3,1,"poisson",0.31295291001972,0.9
"31",300,1,2,24,22,0.333333333333333,1,"poisson",0.00263341441314867,0.1
"32",300,1,2,24,22,1,1,"poisson",0.0141804072558502,0.5
"33",300,1,2,24,22,3,1,"poisson",0.266771282471354,0.9
"34",300,1,2,26,19,0.333333333333333,1,"poisson",0.00215255902520016,0.1
"35",300,1,2,26,19,1,1,"poisson",0.0116105853360834,0.5
"36",300,1,2,26,19,3,1,"poisson",0.276862534557033,0.9
"37",300,1,2,28,16,0.333333333333333,1,"poisson",0.00266858380319658,0.1
"38",300,1,2,28,16,1,1,"poisson",0.0167199805840592,0.5
"39",300,1,2,28,16,3,1,"poisson",0.314408022911427,0.9
"40",300,1,2,30,14,0.333333333333333,1,"poisson",0.0035782033741664,0.1
"41",300,1,2,30,14,1,1,"poisson",0.0177505445508335,0.5
"42",300,1,2,30,14,3,1,"poisson",0.313409790009795,0.9
"43",300,1,2,32,12,0.333333333333333,1,"poisson",0.00328971665824262,0.1
"44",300,1,2,32,12,1,1,"poisson",0.0185738079697937,0.5
"45",300,1,2,32,12,3,1,"poisson",0.264231328788917,0.9
"46",300,1,2,34,10,0.333333333333333,1,"poisson",0.00313570707038888,0.1
"47",300,1,2,34,10,1,1,"poisson",0.0188047306908665,0.5
"48",300,1,2,34,10,3,1,"poisson",0.275634712158697,0.9
"49",300,1,2,36,8,0.333333333333333,1,"poisson",0.00412476323814919,0.1
"50",300,1,2,36,8,1,1,"poisson",0.022797569799038,0.5
"51",300,1,2,36,8,3,1,"poisson",0.26644315594414,0.9
"52",300,1,2,38,7,0.333333333333333,1,"poisson",0.00519674091824885,0.1
"53",300,1,2,38,7,1,1,"poisson",0.0250840473733349,0.5
"54",300,1,2,38,7,3,1,"poisson",0.310428076556968,0.9
"55",300,1,2,40,6,0.333333333333333,1,"poisson",0.00508081772942883,0.1
"56",300,1,2,40,6,1,1,"poisson",0.0243551218952278,0.5
"57",300,1,2,40,6,3,1,"poisson",0.316603814046432,0.9
"58",300,1,2,42,4,0.333333333333333,1,"poisson",0.00669965550571625,0.1
"59",300,1,2,42,4,1,1,"poisson",0.0360871215622133,0.5
"60",300,1,2,42,4,3,1,"poisson",0.410103348756209,0.9
"61",300,1,2,44,3,0.333333333333333,1,"poisson",0.010383557395141,0.1
"62",300,1,2,44,3,1,1,"poisson",0.0412779373951893,0.5
"63",300,1,2,44,3,3,1,"poisson",0.422047478795663,0.9
"64",300,1,2,46,2,0.333333333333333,1,"poisson",0.013888805637883,0.1
"65",300,1,2,46,2,1,1,"poisson",0.057904481025157,0.5
"66",300,1,2,46,2,3,1,"poisson",0.520609031965576,0.9
"67",300,1,2,48,1,0.333333333333333,1,"poisson",0.0223163841464495,0.1
"68",300,1,2,48,1,1,1,"poisson",0.134725536156552,0.5
"69",300,1,2,48,1,3,1,"poisson",3.01605583381412,0.9
"70",300,1,2,50,1,0.333333333333333,1,"poisson",0.0274648149743258,0.1
"71",300,1,2,50,1,1,1,"poisson",0.143013589835429,0.5
"72",300,1,2,50,1,3,1,"poisson",3.03048683597427,0.9
