"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,0.5,2,4,13,1,1,"poisson",0.138388892776507,0.5
"2",300,0.5,2,6,8,1,1,"poisson",0.13196491154048,0.5
"3",300,0.5,2,8,6,1,1,"poisson",0.152519447000809,0.5
"4",300,0.5,2,10,5,1,1,"poisson",0.131233858436391,0.5
"5",300,0.5,2,12,4,1,1,"poisson",0.148414490238585,0.5
"6",300,0.5,2,14,3,1,1,"poisson",0.164051218330279,0.5
"7",300,0.5,2,16,3,1,1,"poisson",0.121697005069053,0.5
"8",300,0.5,2,18,2,1,1,"poisson",0.144660406898755,0.5
"9",300,0.5,2,20,2,1,1,"poisson",0.164113092277313,0.5
"10",300,0.5,2,22,2,1,1,"poisson",0.154588758775621,0.5
"11",300,0.5,2,24,2,1,1,"poisson",0.120095620526315,0.5
"12",300,0.5,2,26,1,1,1,"poisson",0.268475159076126,0.5
"13",300,0.5,2,28,1,1,1,"poisson",0.249535031741266,0.5
"14",300,0.5,2,30,1,1,1,"poisson",0.201050327429728,0.5
"15",300,0.5,2,32,1,1,1,"poisson",0.231446892174891,0.5
"16",300,0.5,2,34,1,1,1,"poisson",0.224908295598071,0.5
"17",300,0.5,2,36,1,1,1,"poisson",0.203779990130266,0.5
"18",300,0.5,2,38,1,1,1,"poisson",0.187994247265796,0.5
"19",300,0.5,2,40,1,1,1,"poisson",0.158639947771297,0.5
"20",300,0.5,2,42,1,1,1,"poisson",0.172822263065499,0.5
"21",300,0.5,2,44,1,1,1,"poisson",0.157111673054124,0.5
"22",300,0.5,2,46,1,1,1,"poisson",0.148737940274516,0.5
"23",300,0.5,2,48,1,1,1,"poisson",0.160588840643226,0.5
"24",300,0.5,2,50,1,1,1,"poisson",0.13434245281447,0.5
"25",300,2,2,4,13,1,1,"poisson",0.108416740338599,0.5
"26",300,2,2,6,8,1,1,"poisson",0.122127541815339,0.5
"27",300,2,2,8,6,1,1,"poisson",0.128845463710793,0.5
"28",300,2,2,10,5,1,1,"poisson",0.118304396206492,0.5
"29",300,2,2,12,4,1,1,"poisson",0.0985154057539583,0.5
"30",300,2,2,14,3,1,1,"poisson",0.134019989425797,0.5
"31",300,2,2,16,3,1,1,"poisson",0.106614633680918,0.5
"32",300,2,2,18,2,1,1,"poisson",0.141526914969815,0.5
"33",300,2,2,20,2,1,1,"poisson",0.125822790207063,0.5
"34",300,2,2,22,2,1,1,"poisson",0.117922896992789,0.5
"35",300,2,2,24,2,1,1,"poisson",0.0992591483060709,0.5
"36",300,2,2,26,1,1,1,"poisson",0.223143187268632,0.5
"37",300,2,2,28,1,1,1,"poisson",0.230143481229308,0.5
"38",300,2,2,30,1,1,1,"poisson",0.217808019841165,0.5
"39",300,2,2,32,1,1,1,"poisson",0.205274120564863,0.5
"40",300,2,2,34,1,1,1,"poisson",0.194429121012219,0.5
"41",300,2,2,36,1,1,1,"poisson",0.14588529759263,0.5
"42",300,2,2,38,1,1,1,"poisson",0.179018025020281,0.5
"43",300,2,2,40,1,1,1,"poisson",0.172565397255071,0.5
"44",300,2,2,42,1,1,1,"poisson",0.16624737835629,0.5
"45",300,2,2,44,1,1,1,"poisson",0.161675532657184,0.5
"46",300,2,2,46,1,1,1,"poisson",0.124931588423236,0.5
"47",300,2,2,48,1,1,1,"poisson",0.16006648808706,0.5
"48",300,2,2,50,1,1,1,"poisson",0.123536736791112,0.5
"49",300,10,2,4,13,1,1,"poisson",0.095527631247261,0.5
"50",300,10,2,6,8,1,1,"poisson",0.120811500324658,0.5
"51",300,10,2,8,6,1,1,"poisson",0.109475185411726,0.5
"52",300,10,2,10,5,1,1,"poisson",0.108305318137384,0.5
"53",300,10,2,12,4,1,1,"poisson",0.0968346214204161,0.5
"54",300,10,2,14,3,1,1,"poisson",0.122268941393432,0.5
"55",300,10,2,16,3,1,1,"poisson",0.110208897065924,0.5
"56",300,10,2,18,2,1,1,"poisson",0.116368452516729,0.5
"57",300,10,2,20,2,1,1,"poisson",0.110993942483408,0.5
"58",300,10,2,22,2,1,1,"poisson",0.108179799171924,0.5
"59",300,10,2,24,2,1,1,"poisson",0.100436442210745,0.5
"60",300,10,2,26,1,1,1,"poisson",0.235072964220197,0.5
"61",300,10,2,28,1,1,1,"poisson",0.198155053396605,0.5
"62",300,10,2,30,1,1,1,"poisson",0.217521171669253,0.5
"63",300,10,2,32,1,1,1,"poisson",0.210478052993745,0.5
"64",300,10,2,34,1,1,1,"poisson",0.175370994578953,0.5
"65",300,10,2,36,1,1,1,"poisson",0.170040345687179,0.5
"66",300,10,2,38,1,1,1,"poisson",0.152398172143874,0.5
"67",300,10,2,40,1,1,1,"poisson",0.15742734744407,0.5
"68",300,10,2,42,1,1,1,"poisson",0.145842298806858,0.5
"69",300,10,2,44,1,1,1,"poisson",0.148002924969295,0.5
"70",300,10,2,46,1,1,1,"poisson",0.133679920232039,0.5
"71",300,10,2,48,1,1,1,"poisson",0.112500423936049,0.5
"72",300,10,2,50,1,1,1,"poisson",0.13689801825736,0.5
