"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,1,0.5,4,13,1,1,"poisson",0.133546276439855,0.5
"2",300,1,0.5,6,8,1,1,"poisson",0.120026292447488,0.5
"3",300,1,0.5,8,6,1,1,"poisson",0.132197139504747,0.5
"4",300,1,0.5,10,5,1,1,"poisson",0.129904060172623,0.5
"5",300,1,0.5,12,4,1,1,"poisson",0.138114783793762,0.5
"6",300,1,0.5,14,3,1,1,"poisson",0.136822218257685,0.5
"7",300,1,0.5,16,3,1,1,"poisson",0.120877420804753,0.5
"8",300,1,0.5,18,2,1,1,"poisson",0.159163349322329,0.5
"9",300,1,0.5,20,2,1,1,"poisson",0.133996965133691,0.5
"10",300,1,0.5,22,2,1,1,"poisson",0.112909353433286,0.5
"11",300,1,0.5,24,2,1,1,"poisson",0.138662937225676,0.5
"12",300,1,0.5,26,1,1,1,"poisson",0.267114847555208,0.5
"13",300,1,0.5,28,1,1,1,"poisson",0.218292287729004,0.5
"14",300,1,0.5,30,1,1,1,"poisson",0.196628933477316,0.5
"15",300,1,0.5,32,1,1,1,"poisson",0.215642464988446,0.5
"16",300,1,0.5,34,1,1,1,"poisson",0.21287965078891,0.5
"17",300,1,0.5,36,1,1,1,"poisson",0.187677125103712,0.5
"18",300,1,0.5,38,1,1,1,"poisson",0.160287583625738,0.5
"19",300,1,0.5,40,1,1,1,"poisson",0.160513244543042,0.5
"20",300,1,0.5,42,1,1,1,"poisson",0.179734649854393,0.5
"21",300,1,0.5,44,1,1,1,"poisson",0.167967043980299,0.5
"22",300,1,0.5,46,1,1,1,"poisson",0.171346692760006,0.5
"23",300,1,0.5,48,1,1,1,"poisson",0.143124766545847,0.5
"24",300,1,0.5,50,1,1,1,"poisson",0.125804880307737,0.5
"25",300,1,2,4,13,1,1,"poisson",0.133141977977863,0.5
"26",300,1,2,6,8,1,1,"poisson",0.108715075318465,0.5
"27",300,1,2,8,6,1,1,"poisson",0.124790057399242,0.5
"28",300,1,2,10,5,1,1,"poisson",0.109786916498739,0.5
"29",300,1,2,12,4,1,1,"poisson",0.117862043701874,0.5
"30",300,1,2,14,3,1,1,"poisson",0.123363533120847,0.5
"31",300,1,2,16,3,1,1,"poisson",0.110605182315626,0.5
"32",300,1,2,18,2,1,1,"poisson",0.140980313855505,0.5
"33",300,1,2,20,2,1,1,"poisson",0.153077281191968,0.5
"34",300,1,2,22,2,1,1,"poisson",0.114458811775582,0.5
"35",300,1,2,24,2,1,1,"poisson",0.110919755401772,0.5
"36",300,1,2,26,1,1,1,"poisson",0.252596085962406,0.5
"37",300,1,2,28,1,1,1,"poisson",0.237389932089281,0.5
"38",300,1,2,30,1,1,1,"poisson",0.194403815855481,0.5
"39",300,1,2,32,1,1,1,"poisson",0.200080176869664,0.5
"40",300,1,2,34,1,1,1,"poisson",0.193670476697712,0.5
"41",300,1,2,36,1,1,1,"poisson",0.185163098067016,0.5
"42",300,1,2,38,1,1,1,"poisson",0.15840415680316,0.5
"43",300,1,2,40,1,1,1,"poisson",0.172343019650551,0.5
"44",300,1,2,42,1,1,1,"poisson",0.15072991445577,0.5
"45",300,1,2,44,1,1,1,"poisson",0.145103648124973,0.5
"46",300,1,2,46,1,1,1,"poisson",0.149816209800861,0.5
"47",300,1,2,48,1,1,1,"poisson",0.143710206716122,0.5
"48",300,1,2,50,1,1,1,"poisson",0.129742126649145,0.5
"49",300,1,10,4,13,1,1,"poisson",0.129925547292295,0.5
"50",300,1,10,6,8,1,1,"poisson",0.12157110689425,0.5
"51",300,1,10,8,6,1,1,"poisson",0.138208033181358,0.5
"52",300,1,10,10,5,1,1,"poisson",0.120373307900989,0.5
"53",300,1,10,12,4,1,1,"poisson",0.121372390039862,0.5
"54",300,1,10,14,3,1,1,"poisson",0.130119225453876,0.5
"55",300,1,10,16,3,1,1,"poisson",0.115565748758175,0.5
"56",300,1,10,18,2,1,1,"poisson",0.139477397643686,0.5
"57",300,1,10,20,2,1,1,"poisson",0.1303690203576,0.5
"58",300,1,10,22,2,1,1,"poisson",0.124747770675332,0.5
"59",300,1,10,24,2,1,1,"poisson",0.111070083878116,0.5
"60",300,1,10,26,1,1,1,"poisson",0.249715791533706,0.5
"61",300,1,10,28,1,1,1,"poisson",0.204432111253997,0.5
"62",300,1,10,30,1,1,1,"poisson",0.219156045865077,0.5
"63",300,1,10,32,1,1,1,"poisson",0.205572655856387,0.5
"64",300,1,10,34,1,1,1,"poisson",0.189748901685053,0.5
"65",300,1,10,36,1,1,1,"poisson",0.170545821168622,0.5
"66",300,1,10,38,1,1,1,"poisson",0.167906646128179,0.5
"67",300,1,10,40,1,1,1,"poisson",0.142605189503087,0.5
"68",300,1,10,42,1,1,1,"poisson",0.131483552726686,0.5
"69",300,1,10,44,1,1,1,"poisson",0.141956147952194,0.5
"70",300,1,10,46,1,1,1,"poisson",0.150326130329424,0.5
"71",300,1,10,48,1,1,1,"poisson",0.139450220007909,0.5
"72",300,1,10,50,1,1,1,"poisson",0.134330165882325,0.5
