"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,1,2,4,13,1,0.333333333333333,"normal",0.0833039494674226,0.9
"2",300,1,2,4,13,1,1,"normal",0.139229543643136,0.5
"3",300,1,2,4,13,1,3,"normal",0.708368026547342,0.1
"4",300,1,2,6,8,1,0.333333333333333,"normal",0.0852733736622859,0.9
"5",300,1,2,6,8,1,1,"normal",0.16895483057941,0.5
"6",300,1,2,6,8,1,3,"normal",0.887453322721057,0.1
"7",300,1,2,8,6,1,0.333333333333333,"normal",0.0959824836938994,0.9
"8",300,1,2,8,6,1,1,"normal",0.18952682766473,0.5
"9",300,1,2,8,6,1,3,"normal",1.02805054585015,0.1
"10",300,1,2,10,5,1,0.333333333333333,"normal",0.0978973633063915,0.9
"11",300,1,2,10,5,1,1,"normal",0.162604531378208,0.5
"12",300,1,2,10,5,1,3,"normal",0.929298871128936,0.1
"13",300,1,2,12,4,1,0.333333333333333,"normal",0.0909138662002357,0.9
"14",300,1,2,12,4,1,1,"normal",0.165517433524458,0.5
"15",300,1,2,12,4,1,3,"normal",0.912296994082808,0.1
"16",300,1,2,14,3,1,0.333333333333333,"normal",0.100749844437732,0.9
"17",300,1,2,14,3,1,1,"normal",0.179538790501987,0.5
"18",300,1,2,14,3,1,3,"normal",1.0039901993996,0.1
"19",300,1,2,16,3,1,0.333333333333333,"normal",0.0826952810756953,0.9
"20",300,1,2,16,3,1,1,"normal",0.170454230614278,0.5
"21",300,1,2,16,3,1,3,"normal",0.910555681052279,0.1
"22",300,1,2,18,2,1,0.333333333333333,"normal",0.119772081764856,0.9
"23",300,1,2,18,2,1,1,"normal",0.217182806827583,0.5
"24",300,1,2,18,2,1,3,"normal",1.10602966938959,0.1
"25",300,1,2,20,2,1,0.333333333333333,"normal",0.116144280711526,0.9
"26",300,1,2,20,2,1,1,"normal",0.195026951321237,0.5
"27",300,1,2,20,2,1,3,"normal",1.13682185852501,0.1
"28",300,1,2,22,2,1,0.333333333333333,"normal",0.0916552379063698,0.9
"29",300,1,2,22,2,1,1,"normal",0.180691727052681,0.5
"30",300,1,2,22,2,1,3,"normal",0.825766569349371,0.1
"31",300,1,2,24,2,1,0.333333333333333,"normal",0.0888161714841523,0.9
"32",300,1,2,24,2,1,1,"normal",0.180785281010109,0.5
"33",300,1,2,24,2,1,3,"normal",0.900631564537229,0.1
"34",300,1,2,26,1,1,0.333333333333333,"normal",0.175306800813046,0.9
"35",300,1,2,26,1,1,1,"normal",0.31359257462307,0.5
"36",300,1,2,26,1,1,3,"normal",1.52170622399585,0.1
"37",300,1,2,28,1,1,0.333333333333333,"normal",0.184217760846584,0.9
"38",300,1,2,28,1,1,1,"normal",0.248007947809287,0.5
"39",300,1,2,28,1,1,3,"normal",1.2204120235414,0.1
"40",300,1,2,30,1,1,0.333333333333333,"normal",0.14450527246933,0.9
"41",300,1,2,30,1,1,1,"normal",0.267044065129717,0.5
"42",300,1,2,30,1,1,3,"normal",1.33561573680526,0.1
"43",300,1,2,32,1,1,0.333333333333333,"normal",0.132846875820322,0.9
"44",300,1,2,32,1,1,1,"normal",0.272595875778778,0.5
"45",300,1,2,32,1,1,3,"normal",1.4131987999039,0.1
"46",300,1,2,34,1,1,0.333333333333333,"normal",0.127436399091254,0.9
"47",300,1,2,34,1,1,1,"normal",0.243947138003577,0.5
"48",300,1,2,34,1,1,3,"normal",1.01264040228216,0.1
"49",300,1,2,36,1,1,0.333333333333333,"normal",0.103296883960657,0.9
"50",300,1,2,36,1,1,1,"normal",0.26117111443089,0.5
"51",300,1,2,36,1,1,3,"normal",1.04481387048697,0.1
"52",300,1,2,38,1,1,0.333333333333333,"normal",0.111553102035848,0.9
"53",300,1,2,38,1,1,1,"normal",0.209624407942349,0.5
"54",300,1,2,38,1,1,3,"normal",1.11658133615816,0.1
"55",300,1,2,40,1,1,0.333333333333333,"normal",0.111596177684763,0.9
"56",300,1,2,40,1,1,1,"normal",0.208052935295929,0.5
"57",300,1,2,40,1,1,3,"normal",0.992831224006627,0.1
"58",300,1,2,42,1,1,0.333333333333333,"normal",0.110608259447351,0.9
"59",300,1,2,42,1,1,1,"normal",0.221351057539352,0.5
"60",300,1,2,42,1,1,3,"normal",0.946253967484168,0.1
"61",300,1,2,44,1,1,0.333333333333333,"normal",0.0952979176475932,0.9
"62",300,1,2,44,1,1,1,"normal",0.216128109452871,0.5
"63",300,1,2,44,1,1,3,"normal",0.973203732020769,0.1
"64",300,1,2,46,1,1,0.333333333333333,"normal",0.099622489638743,0.9
"65",300,1,2,46,1,1,1,"normal",0.163725894591336,0.5
"66",300,1,2,46,1,1,3,"normal",0.842363716961511,0.1
"67",300,1,2,48,1,1,0.333333333333333,"normal",0.0956557136041726,0.9
"68",300,1,2,48,1,1,1,"normal",0.17761186763988,0.5
"69",300,1,2,48,1,1,3,"normal",0.862939126793622,0.1
"70",300,1,2,50,1,1,0.333333333333333,"normal",0.102163204090077,0.9
"71",300,1,2,50,1,1,1,"normal",0.155153672931572,0.5
"72",300,1,2,50,1,1,3,"normal",0.856109485153376,0.1
