"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,1,2,4,13,1,0.333333333333333,"poisson",0.135511627001006,0.9
"2",300,1,2,4,13,1,1,"poisson",0.135677937936873,0.5
"3",300,1,2,4,13,1,3,"poisson",0.121518315949093,0.1
"4",300,1,2,6,8,1,0.333333333333333,"poisson",0.147402804311362,0.9
"5",300,1,2,6,8,1,1,"poisson",0.133205534201472,0.5
"6",300,1,2,6,8,1,3,"poisson",0.132077603172489,0.1
"7",300,1,2,8,6,1,0.333333333333333,"poisson",0.140533797343828,0.9
"8",300,1,2,8,6,1,1,"poisson",0.110188574637051,0.5
"9",300,1,2,8,6,1,3,"poisson",0.135963904378419,0.1
"10",300,1,2,10,5,1,0.333333333333333,"poisson",0.113867580588193,0.9
"11",300,1,2,10,5,1,1,"poisson",0.133002447018686,0.5
"12",300,1,2,10,5,1,3,"poisson",0.130783496341143,0.1
"13",300,1,2,12,4,1,0.333333333333333,"poisson",0.120281153319004,0.9
"14",300,1,2,12,4,1,1,"poisson",0.119541831711797,0.5
"15",300,1,2,12,4,1,3,"poisson",0.118063708601234,0.1
"16",300,1,2,14,3,1,0.333333333333333,"poisson",0.154288586206185,0.9
"17",300,1,2,14,3,1,1,"poisson",0.148246685065912,0.5
"18",300,1,2,14,3,1,3,"poisson",0.136257029089173,0.1
"19",300,1,2,16,3,1,0.333333333333333,"poisson",0.128591783543246,0.9
"20",300,1,2,16,3,1,1,"poisson",0.125859188176615,0.5
"21",300,1,2,16,3,1,3,"poisson",0.11483955174139,0.1
"22",300,1,2,18,2,1,0.333333333333333,"poisson",0.146982866207512,0.9
"23",300,1,2,18,2,1,1,"poisson",0.15946784127234,0.5
"24",300,1,2,18,2,1,3,"poisson",0.170599354716065,0.1
"25",300,1,2,20,2,1,0.333333333333333,"poisson",0.130647371523099,0.9
"26",300,1,2,20,2,1,1,"poisson",0.131300636598555,0.5
"27",300,1,2,20,2,1,3,"poisson",0.107621045450032,0.1
"28",300,1,2,22,2,1,0.333333333333333,"poisson",0.12305313232811,0.9
"29",300,1,2,22,2,1,1,"poisson",0.127861635821809,0.5
"30",300,1,2,22,2,1,3,"poisson",0.117629395054333,0.1
"31",300,1,2,24,2,1,0.333333333333333,"poisson",0.107478497789159,0.9
"32",300,1,2,24,2,1,1,"poisson",0.115232198652788,0.5
"33",300,1,2,24,2,1,3,"poisson",0.114245211748017,0.1
"34",300,1,2,26,1,1,0.333333333333333,"poisson",0.233226802064339,0.9
"35",300,1,2,26,1,1,1,"poisson",0.222539877384269,0.5
"36",300,1,2,26,1,1,3,"poisson",0.262193032458708,0.1
"37",300,1,2,28,1,1,0.333333333333333,"poisson",0.219628141298722,0.9
"38",300,1,2,28,1,1,1,"poisson",0.226573715420273,0.5
"39",300,1,2,28,1,1,3,"poisson",0.207895910189792,0.1
"40",300,1,2,30,1,1,0.333333333333333,"poisson",0.236099665095172,0.9
"41",300,1,2,30,1,1,1,"poisson",0.206060401696964,0.5
"42",300,1,2,30,1,1,3,"poisson",0.221671792695155,0.1
"43",300,1,2,32,1,1,0.333333333333333,"poisson",0.208470605948054,0.9
"44",300,1,2,32,1,1,1,"poisson",0.205297102290812,0.5
"45",300,1,2,32,1,1,3,"poisson",0.2262589977988,0.1
"46",300,1,2,34,1,1,0.333333333333333,"poisson",0.179383449635551,0.9
"47",300,1,2,34,1,1,1,"poisson",0.177929472843999,0.5
"48",300,1,2,34,1,1,3,"poisson",0.194824589943288,0.1
"49",300,1,2,36,1,1,0.333333333333333,"poisson",0.187351485535997,0.9
"50",300,1,2,36,1,1,1,"poisson",0.202174438826007,0.5
"51",300,1,2,36,1,1,3,"poisson",0.179632240665004,0.1
"52",300,1,2,38,1,1,0.333333333333333,"poisson",0.193776337442684,0.9
"53",300,1,2,38,1,1,1,"poisson",0.191042690355992,0.5
"54",300,1,2,38,1,1,3,"poisson",0.189481527535211,0.1
"55",300,1,2,40,1,1,0.333333333333333,"poisson",0.145214635867729,0.9
"56",300,1,2,40,1,1,1,"poisson",0.181459721734375,0.5
"57",300,1,2,40,1,1,3,"poisson",0.169250881767883,0.1
"58",300,1,2,42,1,1,0.333333333333333,"poisson",0.172786945834925,0.9
"59",300,1,2,42,1,1,1,"poisson",0.145282979410263,0.5
"60",300,1,2,42,1,1,3,"poisson",0.167546812318823,0.1
"61",300,1,2,44,1,1,0.333333333333333,"poisson",0.156515028695748,0.9
"62",300,1,2,44,1,1,1,"poisson",0.143050235732106,0.5
"63",300,1,2,44,1,1,3,"poisson",0.185552788931142,0.1
"64",300,1,2,46,1,1,0.333333333333333,"poisson",0.159032758598147,0.9
"65",300,1,2,46,1,1,1,"poisson",0.140917526744551,0.5
"66",300,1,2,46,1,1,3,"poisson",0.138726968291431,0.1
"67",300,1,2,48,1,1,0.333333333333333,"poisson",0.124949642960428,0.9
"68",300,1,2,48,1,1,1,"poisson",0.152181817844008,0.5
"69",300,1,2,48,1,1,3,"poisson",0.16098482586206,0.1
"70",300,1,2,50,1,1,0.333333333333333,"poisson",0.151516997627811,0.9
"71",300,1,2,50,1,1,1,"poisson",0.12894985660215,0.5
"72",300,1,2,50,1,1,3,"poisson",0.122964457696744,0.1
